Deutsch,Romaji,Hiragana,Katakana
Katze,neko,ねこ,ネコ
Hund,inu,いぬ,イヌ
Vogel,tori,とり,トリ
Pferd,uma,うま,ウマ
Wolf,ookami,おおかみ,オオカミ
Haus,ie,いえ,イエ
Baum,ki,き,キ
Buch,hon,ほん,ホン
Auto,kuruma,くるま,クルマ
See,umi,うみ,ウミ
